seed_id,listing_name,listing_owner
W00329,"Ellison, C. - Wood Turning & Lathe Work",Claire Ellison
W00076,CALCRAFT Wood Turners (Nigel Calcraft),Nigel Calcraft
W00491,Penry's Staircases | Bespoke Treads & Risers,Emlyn Penry
W00547,Glasson and Son - Master Cabinet Makers,Arthur Glasson
W00016,Talloway Boat Building Limited - Traditional Craft,Cedric Talloway
W00357,"Lockhart, P. Joinery & Carpentry",Philip Lockhart
W00248,"Thornton Fine Furniture, t/a A. Thornton",Alastair Thornton
W00325,CLAVERING French Polishing - Antique Restoration,Hugo Clavering
W00082,Craggs Staircases Ltd - Kitchens|Doors|Stairs,Kevin Craggs
W00624,Murgatroyd Shopfitting (Colin Murgatroyd) LLP,Colin Murgatroyd
W00360,Crane Boat Building - Marine Specialists,Miles Crane
W00296,Brodie and Sons Shopfitting (est 1984),Callum Brodie
W00149,"Winter, E. - Boat Builder",Elliot Winter
W00569,Marston Boat Building - Traditional Wooden Boats,Keith Marston
W00100,WESTERLEY Carpentry - G. Westerley Ltd,Graham Westerley
W00298,Leslie Shopfitting - Retail Fit-outs,Marcus Leslie
W00402,Poldark Cabinet Making (Rupert Poldark) Limited,Rupert Poldark
W00091,Drummond & Company Shopfitting LLP,Hamish Drummond
W00181,"Cholmondeley, H. - Bespoke Joinery",Hugh Cholmondeley
W00054,Gillingham Carpentry & Joinery Ltd,Terrence Gillingham
W00288,STOKER Shopfitting - Commercial Interiors,Kevin Stoker
W00060,Ashford and Sons Joinery (P. Ashford),Peter Ashford
W00285,Baxley & Sons - Master Carpenters,George Baxley
W00377,Ireton Cabinet Makers LLP - Bespoke Furniture,Stuart Ireton
W00427,Stirling Shopfitters Limited - G. Stirling,Graham Stirling
W00442,"Belcourt, H. - Specialist Staircases",Hugo Belcourt
W00112,Penrose Woodturning - Sian Penrose t/a Penrose Woodwork,Sian Penrose
W00584,Keighley and Sons (est. 1984) Master Joiners,Peter Keighley
W00609,HUDDLESTON Wood Turning | Lathe Work | Bowls,Arthur Huddleston
W00513,Swinburne Staircases Limited,Victor Swinburne
W00141,Lowe & Sons Boat Building - Traditional Craft,Gordon Lowe
W00311,"Prosser, K. - Wood Turner",Keith Prosser
W00474,GABLEMONT Shopfitting & Installations,Percy Gablemont
W00554,The French Polishing Studio (Caldecott),Miles Caldecott
W00042,Fallow & Sons - Joiners & Carpenters,Harold Fallow
W00251,"Wakefield, C. - Joinery Services",Clive Wakefield
W00441,Belrose Carpentry - Sacha Belrose LLP,Sacha Belrose
W00025,Windsor Boat Builders Limited - Marine Specialists,Lawrence Windsor
W00544,Chappell and Sons Boat Building,Derek Chappell
W00238,MACNEIL Shopfitting | Retail & Commercial,Fergus MacNeil
W00526,"McTavish, A. - French Polisher & Restorer",Alasdair McTavish
W00262,Moss Woodturning (T. Moss),Terrence Moss
W00504,"Mereweather, S. - Wood Turning & Bowls",Sampson Mereweather
W00299,Yule Boat Building Ltd (est. 1991),Peter Yule
W00446,ELLINGTON Boat Building - Traditional Wooden Boats,Rupert Ellington
W00369,"Bowness, I. - Joinery & Fit-outs",Ian Bowness
W00512,Booth and Sons Cabinet Makers Limited,Robert Booth
W00586,Sallows French Polishing - Graham Sallows Ltd,Graham Sallows
W00224,MacLean Cabinet Makers - Ewan MacLean LLP,Ewan MacLean
W00214,Tidewell Boat Building | Hugo Tidewell,Hugo Tidewell
W00294,"Gillespie, I. - Fine Cabinetry & Furniture",Ian Gillespie
W00518,GLASSCOCK Wood Turning Limited,Reginald Glasscock
W00546,Rowse Carpentry - t/a T. Rowse,Terence Rowse
W00426,Hawkins Joinery & Co (Partnership),Bernard Hawkins
W00471,"Westmore, Hugo - Bespoke Cabinet Makers",Hugo Westmore
W00188,DRINKWATER Wood Turning Ltd | Custom Spindles,Roger Drinkwater
W00254,Arkwright and Sons (est 1955) Master Joiners,Edward Arkwright
W00268,Mossop Boat Building LLP - Traditional Crafts,Graham Mossop
W00410,Gedge Boat Builders Ltd - Repairs | Maintenance,Stuart Gedge
W00041,"Broadbent Shopfitting, L. - Commercial Interiors",Lawrence Broadbent
W00193,FENWICK & SONS Shopfitters,Alan Fenwick
W00098,Fairbairn Cabinet Making (LLP) - Antique Restoration,Clara Fairbairn
W00537,"Rees, Ivor - Staircase Specialists Limited",Ivor Rees
W00348,Trelawney French Polishing - G. Trelawney LLP,Geoffrey Trelawney
W00107,Sinclair Fine Furniture (Ltd),Fiona Sinclair
W00317,Tressidder Boat Building - M. Tressidder,Miles Tressidder
W00014,Gaskell Boat Builders (Huw Gaskell),Huw Gaskell
W00162,"Warne, C. - Wood Turner & Sons",Clive Warne
W00593,ORFORD French Polishing & Restorations,Cedric Orford
W00037,Parrish Cabinet Making - C. Parrish,Clive Parrish
W00138,Kestle Boat Builders Limited (LLP),Ian Kestle
W00604,Livingstone Wood Turning - G. Livingstone LLP,Geoff Livingstone
W00628,The Staircase Specialist (Ridgeway),Owen Ridgeway
W00078,Slessor Wood Turner Ltd - Turning & Lathe Work,Graham Slessor
W00591,Oldfield and Sons Carpentry & Joinery,Walter Oldfield
W00097,"Lumsden, N. - Specialist Shopfitters",Niall Lumsden
W00483,MANSON BOAT BUILDING - Traditional Craftsmen,Cameron Manson
W00182,Standish Shopfitting & Installations,Barry Standish
W00599,S. Keith Shopfitting | Retail & Commercial,Stuart Keith
W00127,"Hedges Boat Building, t/a Sion Hedges",Sion Hedges
W00493,Hetherington Joinery (est. 1994) Ltd,Geoffrey Hetherington
W00506,"Kelsey, N. - French Polisher & Furniture Restoration",Nigel Kelsey
W00337,NASH Carpentry Ltd - Lofts|Extensions|Decks,Victor Nash
W00539,"Stout, G. - Master Carpenter",Gordon Stout
